CustomerID,CustomerSegment,CardVariant,City,State
C000098,Upper Middle,Platinum,Hyderabad,Telangana
C000099,Affluent,Membership Rewards,Ahmedabad,Gujarat
C000100,Upper Middle,Membership Rewards,Pune,Maharashtra
C000101,Affluent,SmartEarn,Delhi,Delhi
C000102,Premium,Corporate,Pune,Maharashtra
C000104,Affluent,SmartEarn,Pune,Maharashtra
C000105,Upper Middle,Travel Platinum,Bengaluru,Karnataka
C000106,Affluent,Platinum,Hyderabad,Telangana
C000108,Premium,Corporate,Bengaluru,Karnataka
C000109,Affluent,SmartEarn,Chennai,Tamil Nadu
C000114,Mass Affluent,SmartEarn,Chennai,Tamil Nadu
C000116,Upper Middle,SmartEarn,Mumbai,Maharashtra
C000119,Premium,Membership Rewards,Jaipur,Rajasthan
C000120,Affluent,SmartEarn,Bengaluru,Karnataka
C000121,Premium,Membership Rewards,Jaipur,Rajasthan
C000122,Premium,Gold,Kolkata,West Bengal
C000123,Premium,Platinum,Mumbai,Maharashtra
C000127,Premium,Platinum,Pune,Maharashtra
C000128,Premium,Platinum,Hyderabad,Telangana
C000129,Affluent,SmartEarn,Kolkata,West Bengal
C000132,Upper Middle,Gold,Hyderabad,Telangana
C000133,Premium,Gold,Delhi,Delhi
C000135,Premium,Gold,Delhi,Delhi
C000139,Mass Affluent,Membership Rewards,Mumbai,Maharashtra
C000145,Premium,SmartEarn,Bengaluru,Karnataka
C000147,Affluent,SmartEarn,Mumbai,Maharashtra
C000148,Upper Middle,Membership Rewards,Mumbai,Maharashtra
C000155,Affluent,Travel Platinum,Mumbai,Maharashtra
C000160,Affluent,SmartEarn,Delhi,Delhi
C000161,Upper Middle,Gold,Bengaluru,Karnataka
C000163,Upper Middle,Platinum,Chennai,Tamil Nadu
C000167,Affluent,Membership Rewards,Delhi,Delhi
C000169,Upper Middle,Travel Platinum,Delhi,Delhi
C000171,Premium,Corporate,Ahmedabad,Gujarat
C000173,Affluent,SmartEarn,Mumbai,Maharashtra
C000178,Premium,SmartEarn,Gurugram,Haryana
C000182,Affluent,Gold,Ahmedabad,Gujarat
C000186,Premium,Travel Platinum,Kolkata,West Bengal
C000188,Premium,Platinum,Bengaluru,Karnataka
C000190,Mass Affluent,Platinum,Delhi,Delhi
C000195,Upper Middle,Membership Rewards,Chennai,Tamil Nadu
C000196,Affluent,Gold,Mumbai,Maharashtra
C000197,Premium,Gold,Delhi,Delhi
C000199,Affluent,Gold,Hyderabad,Telangana
C000200,Upper Middle,Travel Platinum,Hyderabad,Telangana
C000201,Premium,Membership Rewards,Hyderabad,Telangana
C000206,Affluent,Platinum,Mumbai,Maharashtra
C000207,Affluent,Gold,Delhi,Delhi
C000208,Premium,Platinum,Hyderabad,Telangana
C000209,Premium,Membership Rewards,Chennai,Tamil Nadu
C000211,Affluent,Membership Rewards,Chennai,Tamil Nadu
C000212,Premium,Gold,Hyderabad,Telangana
C000213,Premium,Platinum,Bengaluru,Karnataka
C000214,Affluent,SmartEarn,Bengaluru,Karnataka
C000216,Affluent,Travel Platinum,Pune,Maharashtra
C000217,Affluent,Gold,Hyderabad,Telangana
C000218,Premium,SmartEarn,Bengaluru,Karnataka
C000220,Affluent,Membership Rewards,Mumbai,Maharashtra
C000221,Affluent,Membership Rewards,Pune,Maharashtra
C000223,Premium,Platinum,Hyderabad,Telangana
C000225,Upper Middle,Platinum,Mumbai,Maharashtra
C000228,Premium,Travel Platinum,Mumbai,Maharashtra
C000229,Premium,Gold,Delhi,Delhi
C000232,Affluent,Gold,Mumbai,Maharashtra
C000233,Upper Middle,Gold,Kolkata,West Bengal
C000234,Mass Affluent,Membership Rewards,Bengaluru,Karnataka
C000235,Premium,Gold,Kolkata,West Bengal
C000236,Affluent,SmartEarn,Chennai,Tamil Nadu
C000241,Premium,Membership Rewards,Delhi,Delhi
C000243,Mass Affluent,SmartEarn,Kolkata,West Bengal
C000244,Mass Affluent,Travel Platinum,Delhi,Delhi
C000245,Affluent,Travel Platinum,Bengaluru,Karnataka
C000247,Premium,SmartEarn,Kolkata,West Bengal
C000249,Mass Affluent,Gold,Bengaluru,Karnataka
C000251,Affluent,SmartEarn,Mumbai,Maharashtra
C000256,Mass Affluent,Platinum,Mumbai,Maharashtra
C000258,Premium,Platinum,Jaipur,Rajasthan
C000259,Affluent,Membership Rewards,Chennai,Tamil Nadu
C000260,Affluent,Travel Platinum,Mumbai,Maharashtra
C000262,Premium,Gold,Bengaluru,Karnataka
C000265,Upper Middle,Travel Platinum,Gurugram,Haryana
C000266,Affluent,Travel Platinum,Kolkata,West Bengal
C000267,Upper Middle,SmartEarn,Hyderabad,Telangana
C000275,Premium,SmartEarn,Bengaluru,Karnataka
C000276,Upper Middle,SmartEarn,Mumbai,Maharashtra
C000278,Affluent,Travel Platinum,Mumbai,Maharashtra
C000279,Affluent,Membership Rewards,Kolkata,West Bengal
C000280,Premium,Membership Rewards,Mumbai,Maharashtra
C000281,Affluent,Platinum,Delhi,Delhi
C000282,Upper Middle,Platinum,Pune,Maharashtra
C000283,Upper Middle,Membership Rewards,Bengaluru,Karnataka
C000285,Affluent,Gold,Bengaluru,Karnataka
C000286,Affluent,Platinum,Hyderabad,Telangana
C000287,Premium,Corporate,Delhi,Delhi
C000293,Affluent,Gold,Mumbai,Maharashtra
C000296,Affluent,Membership Rewards,Bengaluru,Karnataka
C000299,Premium,Gold,Ahmedabad,Gujarat
C000301,Upper Middle,Membership Rewards,Delhi,Delhi
C000302,Affluent,Gold,Delhi,Delhi
C000303,Upper Middle,Gold,Delhi,Delhi
C000305,Premium,Platinum,Delhi,Delhi
C000308,Affluent,Membership Rewards,Pune,Maharashtra
C000313,Premium,Corporate,Chennai,Tamil Nadu
C000314,Affluent,Membership Rewards,Chennai,Tamil Nadu
C000315,Premium,Gold,Mumbai,Maharashtra
C000317,Upper Middle,Membership Rewards,Pune,Maharashtra
C000320,Affluent,Gold,Mumbai,Maharashtra
C000322,Affluent,Corporate,Mumbai,Maharashtra
C000325,Premium,SmartEarn,Pune,Maharashtra
C000326,Upper Middle,SmartEarn,Kolkata,West Bengal
C000333,Affluent,Membership Rewards,Pune,Maharashtra
C000334,Premium,Platinum,Hyderabad,Telangana
C000335,Premium,Membership Rewards,Bengaluru,Karnataka
C000336,Premium,Membership Rewards,Chennai,Tamil Nadu
C000337,Premium,Gold,Mumbai,Maharashtra
C000338,Premium,Platinum,Chennai,Tamil Nadu
C000339,Premium,Platinum,Hyderabad,Telangana
C000340,Affluent,SmartEarn,Delhi,Delhi
C000341,Upper Middle,Travel Platinum,Bengaluru,Karnataka
C000343,Affluent,Platinum,Delhi,Delhi
C000346,Upper Middle,Membership Rewards,Delhi,Delhi
C000349,Mass Affluent,Membership Rewards,Pune,Maharashtra
C000350,Affluent,Membership Rewards,Kolkata,West Bengal
C000351,Affluent,Platinum,Hyderabad,Telangana
C000352,Premium,Platinum,Chennai,Tamil Nadu
C000354,Premium,Corporate,Bengaluru,Karnataka
C000356,Affluent,Membership Rewards,Mumbai,Maharashtra
C000358,Upper Middle,Gold,Pune,Maharashtra
C000359,Premium,Platinum,Bengaluru,Karnataka
C000360,Premium,Corporate,Bengaluru,Karnataka
C000361,Mass Affluent,Corporate,Delhi,Delhi
C000362,Affluent,Platinum,Bengaluru,Karnataka
C000363,Upper Middle,Gold,Delhi,Delhi
C000371,Mass Affluent,SmartEarn,Mumbai,Maharashtra
C000372,Premium,Platinum,Hyderabad,Telangana
C000373,Premium,Gold,Mumbai,Maharashtra
C000374,Affluent,Gold,Hyderabad,Telangana
C000375,Upper Middle,Platinum,Mumbai,Maharashtra
C000376,Affluent,Membership Rewards,Kolkata,West Bengal
C000378,Affluent,Membership Rewards,Hyderabad,Telangana
C000384,Affluent,Travel Platinum,Gurugram,Haryana
C000386,Affluent,Travel Platinum,Pune,Maharashtra
C000387,Premium,Travel Platinum,Mumbai,Maharashtra
C000388,Premium,Corporate,Mumbai,Maharashtra
C000390,Premium,Platinum,Bengaluru,Karnataka
C000391,Upper Middle,Platinum,Bengaluru,Karnataka
C000394,Affluent,Gold,Jaipur,Rajasthan
C000395,Affluent,Platinum,Chennai,Tamil Nadu
C000396,Premium,Platinum,Chennai,Tamil Nadu
C000397,Premium,Platinum,Chennai,Tamil Nadu
C000398,Premium,SmartEarn,Mumbai,Maharashtra
C000401,Premium,Gold,Bengaluru,Karnataka
C000402,Affluent,SmartEarn,Delhi,Delhi
C000403,Affluent,Membership Rewards,Bengaluru,Karnataka
C000405,Affluent,Travel Platinum,Bengaluru,Karnataka
C000408,Premium,SmartEarn,Bengaluru,Karnataka
C000409,Affluent,Corporate,Chennai,Tamil Nadu
C000410,Premium,Membership Rewards,Delhi,Delhi
C000413,Affluent,SmartEarn,Kolkata,West Bengal
C000416,Mass Affluent,SmartEarn,Chennai,Tamil Nadu
C000418,Affluent,Gold,Hyderabad,Telangana
C000419,Premium,SmartEarn,Delhi,Delhi
C000420,Premium,Gold,Chennai,Tamil Nadu
C000422,Affluent,Corporate,Mumbai,Maharashtra
C000423,Affluent,SmartEarn,Mumbai,Maharashtra
C000424,Affluent,Gold,Bengaluru,Karnataka
C000425,Premium,Travel Platinum,Mumbai,Maharashtra
C000426,Premium,Travel Platinum,Delhi,Delhi
C000427,Affluent,SmartEarn,Hyderabad,Telangana
C000428,Upper Middle,Membership Rewards,Hyderabad,Telangana
C000429,Premium,Platinum,Mumbai,Maharashtra
C000431,Affluent,Membership Rewards,Mumbai,Maharashtra
C000432,Premium,SmartEarn,Mumbai,Maharashtra
C000435,Premium,Membership Rewards,Mumbai,Maharashtra
C000437,Premium,Platinum,Delhi,Delhi
C000438,Affluent,SmartEarn,Mumbai,Maharashtra
C000439,Mass Affluent,SmartEarn,Bengaluru,Karnataka
C000440,Mass Affluent,Membership Rewards,Delhi,Delhi
C000441,Affluent,Membership Rewards,Hyderabad,Telangana
C000442,Premium,Gold,Mumbai,Maharashtra
C000443,Affluent,Gold,Bengaluru,Karnataka
C000447,Affluent,SmartEarn,Bengaluru,Karnataka
C000450,Affluent,Membership Rewards,Chennai,Tamil Nadu
C000455,Premium,Corporate,Hyderabad,Telangana
C000456,Affluent,Travel Platinum,Bengaluru,Karnataka
C000457,Affluent,Gold,Bengaluru,Karnataka
C000458,Affluent,Platinum,Mumbai,Maharashtra
C000459,Affluent,Travel Platinum,Mumbai,Maharashtra
C000462,Mass Affluent,Platinum,Mumbai,Maharashtra
C000467,Upper Middle,Membership Rewards,Chennai,Tamil Nadu
C000469,Affluent,Membership Rewards,Mumbai,Maharashtra
C000470,Mass Affluent,Platinum,Jaipur,Rajasthan
C000473,Premium,Gold,Hyderabad,Telangana
C000475,Premium,Membership Rewards,Chennai,Tamil Nadu
C000477,Upper Middle,Membership Rewards,Bengaluru,Karnataka
C000480,Affluent,Platinum,Chennai,Tamil Nadu
C000481,Affluent,Gold,Delhi,Delhi
C000482,Upper Middle,Gold,Hyderabad,Telangana
C000485,Upper Middle,Gold,Delhi,Delhi
C000486,Upper Middle,Platinum,Delhi,Delhi
C000488,Affluent,Membership Rewards,Hyderabad,Telangana
C000489,Upper Middle,Membership Rewards,Mumbai,Maharashtra
C000490,Upper Middle,Travel Platinum,Bengaluru,Karnataka
C000494,Mass Affluent,Gold,Delhi,Delhi
C000497,Affluent,Gold,Mumbai,Maharashtra
C000500,Affluent,SmartEarn,Bengaluru,Karnataka
C000501,Premium,Gold,Jaipur,Rajasthan
C000502,Affluent,Travel Platinum,Bengaluru,Karnataka
C000503,Affluent,Gold,Hyderabad,Telangana
C000505,Affluent,Travel Platinum,Mumbai,Maharashtra
C000506,Premium,Gold,Chennai,Tamil Nadu
C000507,Premium,Membership Rewards,Gurugram,Haryana
C000509,Upper Middle,SmartEarn,Mumbai,Maharashtra
C000510,Mass Affluent,Membership Rewards,Pune,Maharashtra
C000511,Upper Middle,SmartEarn,Delhi,Delhi
C000512,Premium,Travel Platinum,Bengaluru,Karnataka
C000514,Premium,Membership Rewards,Gurugram,Haryana
C000515,Premium,Membership Rewards,Kolkata,West Bengal
C000516,Premium,Corporate,Hyderabad,Telangana
C000517,Affluent,Platinum,Bengaluru,Karnataka
C000518,Premium,Travel Platinum,Delhi,Delhi
C000519,Upper Middle,Travel Platinum,Chennai,Tamil Nadu
C000520,Upper Middle,Travel Platinum,Pune,Maharashtra
C000522,Mass Affluent,Membership Rewards,Mumbai,Maharashtra
C000524,Mass Affluent,Corporate,Chennai,Tamil Nadu
C000526,Premium,Travel Platinum,Jaipur,Rajasthan
C000528,Premium,Gold,Mumbai,Maharashtra
C000530,Affluent,Platinum,Hyderabad,Telangana
C000532,Upper Middle,Platinum,Delhi,Delhi
C000533,Premium,Corporate,Delhi,Delhi
C000534,Upper Middle,Membership Rewards,Chennai,Tamil Nadu
C000535,Premium,SmartEarn,Bengaluru,Karnataka
C000537,Premium,Platinum,Mumbai,Maharashtra
C000538,Premium,Gold,Gurugram,Haryana
C000539,Affluent,Gold,Mumbai,Maharashtra
C000540,Premium,SmartEarn,Delhi,Delhi
C000543,Affluent,SmartEarn,Pune,Maharashtra
C000545,Affluent,Membership Rewards,Pune,Maharashtra
C000548,Premium,Gold,Bengaluru,Karnataka
C000551,Affluent,Gold,Bengaluru,Karnataka
C000554,Upper Middle,Corporate,Bengaluru,Karnataka
C000555,Affluent,Membership Rewards,Bengaluru,Karnataka
C000558,Affluent,Platinum,Bengaluru,Karnataka
C000559,Affluent,Gold,Kolkata,West Bengal
C000560,Premium,Platinum,Hyderabad,Telangana
C000561,Upper Middle,SmartEarn,Mumbai,Maharashtra
C000563,Affluent,Corporate,Mumbai,Maharashtra
C000564,Premium,Gold,Chennai,Tamil Nadu
C000565,Premium,Gold,Hyderabad,Telangana
C000566,Affluent,Gold,Ahmedabad,Gujarat
C000567,Affluent,Membership Rewards,Bengaluru,Karnataka
C000568,Affluent,Membership Rewards,Mumbai,Maharashtra
C000569,Affluent,Gold,Hyderabad,Telangana
C000570,Upper Middle,Gold,Chennai,Tamil Nadu
C000571,Affluent,Membership Rewards,Hyderabad,Telangana
C000572,Premium,Membership Rewards,Bengaluru,Karnataka
C000573,Premium,SmartEarn,Chennai,Tamil Nadu
C000576,Affluent,Platinum,Chennai,Tamil Nadu
C000577,Upper Middle,Gold,Bengaluru,Karnataka
C000579,Upper Middle,SmartEarn,Mumbai,Maharashtra
C000580,Premium,Travel Platinum,Bengaluru,Karnataka
C000582,Upper Middle,SmartEarn,Chennai,Tamil Nadu
C000583,Premium,Gold,Hyderabad,Telangana
C000584,Affluent,Membership Rewards,Pune,Maharashtra
C000585,Affluent,Corporate,Hyderabad,Telangana
C000586,Affluent,Platinum,Mumbai,Maharashtra
C000588,Premium,Gold,Bengaluru,Karnataka
C000598,Premium,SmartEarn,Mumbai,Maharashtra
C000599,Premium,SmartEarn,Bengaluru,Karnataka
C000601,Premium,Corporate,Bengaluru,Karnataka
C000602,Premium,Platinum,Mumbai,Maharashtra
C000603,Upper Middle,Platinum,Bengaluru,Karnataka
C000604,Affluent,SmartEarn,Mumbai,Maharashtra
C000606,Upper Middle,Membership Rewards,Gurugram,Haryana
C000607,Premium,Corporate,Chennai,Tamil Nadu
C000609,Premium,Membership Rewards,Bengaluru,Karnataka
C000610,Premium,Gold,Mumbai,Maharashtra
C000611,Affluent,SmartEarn,Pune,Maharashtra
C000613,Affluent,Travel Platinum,Chennai,Tamil Nadu
C000615,Premium,SmartEarn,Delhi,Delhi
C000616,Affluent,Platinum,Gurugram,Haryana
C000617,Affluent,SmartEarn,Mumbai,Maharashtra
C000618,Affluent,Gold,Bengaluru,Karnataka
C000619,Affluent,SmartEarn,Bengaluru,Karnataka
C000620,Affluent,Platinum,Hyderabad,Telangana
C000626,Premium,SmartEarn,Ahmedabad,Gujarat
C000632,Affluent,Membership Rewards,Bengaluru,Karnataka
C000633,Premium,Platinum,Chennai,Tamil Nadu
C000636,Affluent,Gold,Mumbai,Maharashtra
C000644,Premium,Platinum,Chennai,Tamil Nadu
C000649,Premium,SmartEarn,Mumbai,Maharashtra
C000653,Premium,Travel Platinum,Delhi,Delhi
C000656,Premium,Membership Rewards,Mumbai,Maharashtra
C000657,Affluent,Corporate,Delhi,Delhi
C000661,Affluent,SmartEarn,Mumbai,Maharashtra
C000664,Premium,Gold,Delhi,Delhi
C000665,Premium,Membership Rewards,Ahmedabad,Gujarat
C000667,Premium,Membership Rewards,Kolkata,West Bengal
C000668,Affluent,SmartEarn,Delhi,Delhi
C000670,Premium,Membership Rewards,Mumbai,Maharashtra
C000675,Upper Middle,Travel Platinum,Mumbai,Maharashtra
C000678,Affluent,Gold,Mumbai,Maharashtra
C000679,Affluent,Corporate,Delhi,Delhi
C000681,Affluent,Gold,Delhi,Delhi
C000682,Upper Middle,Membership Rewards,Gurugram,Haryana
C000684,Premium,SmartEarn,Bengaluru,Karnataka
C000686,Premium,Corporate,Delhi,Delhi
C000687,Upper Middle,Travel Platinum,Delhi,Delhi
C000688,Affluent,Gold,Mumbai,Maharashtra
C000689,Affluent,Travel Platinum,Delhi,Delhi
C000691,Premium,Platinum,Mumbai,Maharashtra
C000692,Affluent,Membership Rewards,Mumbai,Maharashtra
C000693,Upper Middle,SmartEarn,Pune,Maharashtra
C000694,Upper Middle,Platinum,Mumbai,Maharashtra
C000695,Affluent,Platinum,Mumbai,Maharashtra
C000696,Premium,Corporate,Bengaluru,Karnataka
C000698,Mass Affluent,Travel Platinum,Delhi,Delhi
C000700,Affluent,Membership Rewards,Bengaluru,Karnataka
C000702,Premium,SmartEarn,Mumbai,Maharashtra
C000703,Affluent,Platinum,Pune,Maharashtra
C000704,Upper Middle,Travel Platinum,Hyderabad,Telangana
C000707,Affluent,Platinum,Pune,Maharashtra
C000708,Upper Middle,Gold,Bengaluru,Karnataka
C000709,Affluent,Membership Rewards,Mumbai,Maharashtra
C000712,Premium,Membership Rewards,Bengaluru,Karnataka
C000713,Affluent,Gold,Pune,Maharashtra
C000716,Affluent,Membership Rewards,Bengaluru,Karnataka
C000719,Affluent,Corporate,Chennai,Tamil Nadu
C000721,Affluent,SmartEarn,Mumbai,Maharashtra
C000722,Premium,Platinum,Mumbai,Maharashtra
C000723,Affluent,SmartEarn,Bengaluru,Karnataka
C000726,Premium,Platinum,Delhi,Delhi
C000727,Affluent,Membership Rewards,Ahmedabad,Gujarat
C000729,Affluent,Platinum,Ahmedabad,Gujarat
C000731,Premium,Corporate,Gurugram,Haryana
C000732,Upper Middle,Gold,Chennai,Tamil Nadu
C000736,Upper Middle,Gold,Jaipur,Rajasthan
C000737,Upper Middle,SmartEarn,Mumbai,Maharashtra
C000739,Premium,SmartEarn,Mumbai,Maharashtra
C000741,Affluent,Gold,Bengaluru,Karnataka
C000742,Premium,Platinum,Gurugram,Haryana
C000744,Premium,Corporate,Bengaluru,Karnataka
C000747,Upper Middle,SmartEarn,Mumbai,Maharashtra
C000748,Affluent,SmartEarn,Bengaluru,Karnataka
C000749,Premium,Travel Platinum,Mumbai,Maharashtra
C000750,Upper Middle,Gold,Mumbai,Maharashtra
C000751,Upper Middle,Gold,Chennai,Tamil Nadu
C000752,Premium,Travel Platinum,Mumbai,Maharashtra
C000756,Upper Middle,Membership Rewards,Mumbai,Maharashtra
C000759,Affluent,Platinum,Bengaluru,Karnataka
C000762,Affluent,SmartEarn,Hyderabad,Telangana
C000764,Premium,Gold,Bengaluru,Karnataka
C000765,Premium,Corporate,Delhi,Delhi
C000768,Premium,Gold,Bengaluru,Karnataka
C000770,Affluent,Travel Platinum,Pune,Maharashtra
C000771,Affluent,Gold,Hyderabad,Telangana
C000772,Premium,SmartEarn,Mumbai,Maharashtra
C000774,Affluent,Gold,Delhi,Delhi
C000775,Upper Middle,Corporate,Bengaluru,Karnataka
C000776,Upper Middle,Travel Platinum,Mumbai,Maharashtra
C000777,Premium,Membership Rewards,Pune,Maharashtra
C000778,Affluent,Membership Rewards,Mumbai,Maharashtra
C000780,Mass Affluent,SmartEarn,Mumbai,Maharashtra
C000783,Premium,Platinum,Pune,Maharashtra
C000784,Affluent,Platinum,Hyderabad,Telangana
C000786,Premium,Gold,Pune,Maharashtra
C000788,Affluent,SmartEarn,Gurugram,Haryana
C000789,Premium,Gold,Mumbai,Maharashtra
C000790,Upper Middle,SmartEarn,Pune,Maharashtra
C000791,Premium,Membership Rewards,Bengaluru,Karnataka
C000793,Affluent,Gold,Hyderabad,Telangana
C000794,Affluent,Gold,Delhi,Delhi
C000796,Affluent,Travel Platinum,Mumbai,Maharashtra
C000797,Premium,Gold,Chennai,Tamil Nadu
C000799,Affluent,Membership Rewards,Delhi,Delhi
C000800,Premium,Gold,Mumbai,Maharashtra
C000801,Premium,Membership Rewards,Delhi,Delhi
C000804,Premium,Corporate,Bengaluru,Karnataka
C000806,Upper Middle,Membership Rewards,Delhi,Delhi
C000807,Mass Affluent,Gold,Pune,Maharashtra
C000808,Upper Middle,Corporate,Bengaluru,Karnataka
C000810,Affluent,Corporate,Delhi,Delhi
C000813,Upper Middle,Membership Rewards,Mumbai,Maharashtra
C000815,Upper Middle,Gold,Mumbai,Maharashtra
C000816,Upper Middle,Gold,Gurugram,Haryana
C000821,Premium,SmartEarn,Bengaluru,Karnataka
C000825,Upper Middle,Gold,Mumbai,Maharashtra
C000826,Premium,Platinum,Gurugram,Haryana
C000828,Affluent,Membership Rewards,Bengaluru,Karnataka
C000829,Affluent,Membership Rewards,Mumbai,Maharashtra
C000831,Upper Middle,Membership Rewards,Bengaluru,Karnataka
C000832,Affluent,Corporate,Bengaluru,Karnataka
C000833,Affluent,Gold,Gurugram,Haryana
C000835,Premium,Gold,Bengaluru,Karnataka
C000839,Premium,Platinum,Bengaluru,Karnataka
C000840,Premium,SmartEarn,Mumbai,Maharashtra
C000841,Premium,Corporate,Delhi,Delhi
C000842,Premium,Gold,Kolkata,West Bengal
C000850,Affluent,Gold,Bengaluru,Karnataka
C000857,Upper Middle,Corporate,Mumbai,Maharashtra
C000858,Affluent,Platinum,Delhi,Delhi
C000859,Affluent,Gold,Mumbai,Maharashtra
C000860,Premium,SmartEarn,Mumbai,Maharashtra
C000861,Upper Middle,SmartEarn,Bengaluru,Karnataka
C000864,Upper Middle,SmartEarn,Bengaluru,Karnataka
C000865,Premium,Membership Rewards,Mumbai,Maharashtra
C000866,Affluent,Platinum,Gurugram,Haryana
C000867,Affluent,Gold,Hyderabad,Telangana
C000873,Premium,Gold,Bengaluru,Karnataka
C000875,Affluent,Platinum,Chennai,Tamil Nadu
C000876,Affluent,Membership Rewards,Jaipur,Rajasthan
C000882,Premium,SmartEarn,Pune,Maharashtra
C000883,Affluent,Platinum,Chennai,Tamil Nadu
C000884,Affluent,Travel Platinum,Bengaluru,Karnataka
C000885,Affluent,Travel Platinum,Delhi,Delhi
C000887,Premium,SmartEarn,Chennai,Tamil Nadu
C000888,Upper Middle,Gold,Pune,Maharashtra
C000889,Mass Affluent,Membership Rewards,Mumbai,Maharashtra
C000890,Affluent,Travel Platinum,Bengaluru,Karnataka
C000900,Premium,Platinum,Mumbai,Maharashtra
C000902,Premium,Platinum,Bengaluru,Karnataka
C000903,Premium,SmartEarn,Delhi,Delhi
C000905,Affluent,Membership Rewards,Pune,Maharashtra
C000914,Upper Middle,SmartEarn,Hyderabad,Telangana
C000917,Mass Affluent,Platinum,Mumbai,Maharashtra
C000918,Affluent,Platinum,Delhi,Delhi
C000919,Premium,Platinum,Mumbai,Maharashtra
C000920,Premium,Membership Rewards,Hyderabad,Telangana
C000925,Premium,Gold,Bengaluru,Karnataka
C000927,Premium,Corporate,Pune,Maharashtra
C000928,Premium,Membership Rewards,Mumbai,Maharashtra
C000935,Mass Affluent,Membership Rewards,Jaipur,Rajasthan
C000937,Premium,Platinum,Pune,Maharashtra
C000940,Premium,SmartEarn,Hyderabad,Telangana
C000941,Affluent,Travel Platinum,Mumbai,Maharashtra
C000942,Upper Middle,Platinum,Bengaluru,Karnataka
C000943,Premium,SmartEarn,Hyderabad,Telangana
C000944,Affluent,Membership Rewards,Chennai,Tamil Nadu
C000945,Premium,Corporate,Mumbai,Maharashtra
C000948,Premium,Gold,Mumbai,Maharashtra
C000949,Affluent,Gold,Chennai,Tamil Nadu
C000950,Upper Middle,Platinum,Mumbai,Maharashtra
C000951,Mass Affluent,Membership Rewards,Chennai,Tamil Nadu
C000952,Affluent,Gold,Gurugram,Haryana
C000953,Upper Middle,Membership Rewards,Bengaluru,Karnataka
C000954,Affluent,Membership Rewards,Mumbai,Maharashtra
C000955,Upper Middle,Platinum,Chennai,Tamil Nadu
C000957,Affluent,Membership Rewards,Ahmedabad,Gujarat
C000958,Affluent,Corporate,Gurugram,Haryana
C000961,Premium,Corporate,Bengaluru,Karnataka
C000962,Mass Affluent,Membership Rewards,Delhi,Delhi
C000964,Premium,Platinum,Chennai,Tamil Nadu
C000967,Affluent,Travel Platinum,Delhi,Delhi
C000968,Premium,Corporate,Delhi,Delhi
C000969,Mass Affluent,Gold,Hyderabad,Telangana
C000973,Affluent,Membership Rewards,Mumbai,Maharashtra
C000975,Affluent,Travel Platinum,Bengaluru,Karnataka
C000976,Upper Middle,Platinum,Chennai,Tamil Nadu
C000978,Affluent,Platinum,Mumbai,Maharashtra
C000979,Premium,Membership Rewards,Delhi,Delhi
C000981,Mass Affluent,Membership Rewards,Pune,Maharashtra
C000982,Upper Middle,Membership Rewards,Pune,Maharashtra
C000985,Affluent,Platinum,Mumbai,Maharashtra
