TransactionID,TransactionDate,FY,Quarter,Month,FiscalMonthOrder,CalendarYear,MonthNo,CustomerID,CardNetwork,CardVariant,CustomerSegment,City,State,MerchantCategory,MerchantName,Channel,TransactionAmount_INR
T00426821,2026-03-14,FY25-26,Q4,Mar-26,12,2026,3,C015350,AmEx,Travel Platinum,Premium,Pune,Maharashtra,Grocery,Reliance Fresh,POS,1528.0
T00580993,2025-05-06,FY25-26,Q1,May-25,2,2025,5,C020891,AmEx,Gold,Premium,Bengaluru,Karnataka,Travel,Akbar Travels,POS,15578.0
T00744023,2025-10-05,FY25-26,Q3,Oct-25,7,2025,10,C026745,AmEx,Membership Rewards,Premium,Delhi,Delhi,Hotels,OYO Premium,Online,10662.0
T00799278,2025-07-23,FY25-26,Q2,Jul-25,4,2025,7,C028734,AmEx,Membership Rewards,Upper Middle,Mumbai,Maharashtra,Travel,IRCTC,Online,8378.0
T00875905,2026-02-01,FY25-26,Q4,Feb-26,11,2026,2,C031493,AmEx,Gold,Premium,Delhi,Delhi,Electronics,Reliance Digital,Online,12768.0
T00456550,2025-05-08,FY25-26,Q1,May-25,2,2025,5,C016430,AmEx,Gold,Premium,Pune,Maharashtra,Grocery,Blinkit,POS,1976.0
T00489577,2025-10-11,FY25-26,Q3,Oct-25,7,2025,10,C017609,AmEx,Platinum,Premium,Delhi,Delhi,Dining,Starbucks,POS,4068.0
T00348097,2026-01-04,FY25-26,Q4,Jan-26,10,2026,1,C012525,AmEx,Platinum,Premium,Delhi,Delhi,Grocery,Nature's Basket,POS,2516.0
T00772595,2025-05-14,FY25-26,Q1,May-25,2,2025,5,C027764,AmEx,Platinum,Premium,Hyderabad,Telangana,Hotels,ITC Hotels,Online,13554.0
T00776658,2026-03-11,FY25-26,Q4,Mar-26,12,2026,3,C027913,AmEx,SmartEarn,Upper Middle,Mumbai,Maharashtra,Luxury Retail,Sephora,POS,3830.0
T00489330,2025-10-04,FY25-26,Q3,Oct-25,7,2025,10,C017600,AmEx,Corporate,Upper Middle,Ahmedabad,Gujarat,Hotels,Radisson,Online,2448.0
T00822219,2025-10-11,FY25-26,Q3,Oct-25,7,2025,10,C029562,AmEx,Membership Rewards,Upper Middle,Mumbai,Maharashtra,E-commerce,Amazon India,Online,1483.0
T00866640,2025-07-09,FY25-26,Q2,Jul-25,4,2025,7,C031164,AmEx,Travel Platinum,Premium,Bengaluru,Karnataka,E-commerce,Myntra,Online,3542.0
T00267324,2025-11-19,FY25-26,Q3,Nov-25,8,2025,11,C009632,AmEx,Gold,Premium,Gurugram,Haryana,Grocery,Reliance Fresh,POS,2204.0
T00008223,2025-08-29,FY25-26,Q2,Aug-25,5,2025,8,C000302,AmEx,Gold,Affluent,Delhi,Delhi,E-commerce,Amazon India,Online,3175.0
T00758432,2025-05-23,FY25-26,Q1,May-25,2,2025,5,C027259,AmEx,Travel Platinum,Premium,Kolkata,West Bengal,Luxury Retail,Rolex Boutique,Online,15103.0
T00127852,2026-03-24,FY25-26,Q4,Mar-26,12,2026,3,C004604,AmEx,Travel Platinum,Premium,Delhi,Delhi,E-commerce,Ajio,POS,6242.0
T00316718,2025-11-26,FY25-26,Q3,Nov-25,8,2025,11,C011394,AmEx,SmartEarn,Affluent,Chennai,Tamil Nadu,Dining,Zomato Dining,POS,908.0
T00211161,2026-03-14,FY25-26,Q4,Mar-26,12,2026,3,C007615,AmEx,Membership Rewards,Upper Middle,Hyderabad,Telangana,E-commerce,Myntra,POS,500.0
T00706359,2026-02-06,FY25-26,Q4,Feb-26,11,2026,2,C025408,AmEx,Membership Rewards,Premium,Mumbai,Maharashtra,Grocery,Reliance Fresh,POS,448.0
T00697993,2025-04-09,FY25-26,Q1,Apr-25,1,2025,4,C025112,AmEx,Gold,Premium,Hyderabad,Telangana,Hotels,ITC Hotels,Online,8700.0
T00109862,2025-09-30,FY25-26,Q2,Sep-25,6,2025,9,C003954,AmEx,Platinum,Premium,Gurugram,Haryana,Hotels,OYO Premium,Online,24726.0
T00636299,2025-05-31,FY25-26,Q1,May-25,2,2025,5,C022882,AmEx,SmartEarn,Affluent,Bengaluru,Karnataka,Electronics,Reliance Digital,POS,2179.0
T00818864,2025-11-11,FY25-26,Q3,Nov-25,8,2025,11,C029444,AmEx,SmartEarn,Premium,Chennai,Tamil Nadu,Luxury Retail,Tata CLiQ Luxury,POS,6574.0
T00734955,2025-05-27,FY25-26,Q1,May-25,2,2025,5,C026422,AmEx,Membership Rewards,Mass Affluent,Bengaluru,Karnataka,Luxury Retail,Shoppers Stop,POS,3371.0
T00703449,2025-06-25,FY25-26,Q1,Jun-25,3,2025,6,C025306,AmEx,SmartEarn,Upper Middle,Chennai,Tamil Nadu,Grocery,BigBasket,POS,376.0
T00053970,2026-02-27,FY25-26,Q4,Feb-26,11,2026,2,C001942,AmEx,Gold,Affluent,Mumbai,Maharashtra,Grocery,Nature's Basket,Online,1324.0
T00213112,2025-04-20,FY25-26,Q1,Apr-25,1,2025,4,C007687,AmEx,SmartEarn,Upper Middle,Mumbai,Maharashtra,Travel,Yatra,POS,1805.0
T00327341,2025-05-04,FY25-26,Q1,May-25,2,2025,5,C011776,AmEx,Gold,Affluent,Delhi,Delhi,Luxury Retail,Tata CLiQ Luxury,POS,3954.0
T00423067,2026-02-01,FY25-26,Q4,Feb-26,11,2026,2,C015210,AmEx,Gold,Affluent,Jaipur,Rajasthan,E-commerce,Ajio,Online,2876.0
T00741464,2025-09-19,FY25-26,Q2,Sep-25,6,2025,9,C026655,AmEx,Membership Rewards,Upper Middle,Bengaluru,Karnataka,Travel,Akbar Travels,POS,8198.0
T00107488,2025-08-01,FY25-26,Q2,Aug-25,5,2025,8,C003869,AmEx,SmartEarn,Premium,Gurugram,Haryana,Electronics,Croma,Online,2534.0
T00271297,2025-07-12,FY25-26,Q2,Jul-25,4,2025,7,C009783,AmEx,Gold,Premium,Delhi,Delhi,E-commerce,Myntra,Online,1238.0
T00868818,2025-06-29,FY25-26,Q1,Jun-25,3,2025,6,C031240,AmEx,SmartEarn,Premium,Mumbai,Maharashtra,Dining,Starbucks,POS,628.0
T00089572,2025-09-15,FY25-26,Q2,Sep-25,6,2025,9,C003224,AmEx,Membership Rewards,Affluent,Hyderabad,Telangana,Education,Byju's,Online,1313.0
T00403676,2026-01-12,FY25-26,Q4,Jan-26,10,2026,1,C014512,AmEx,Gold,Upper Middle,Bengaluru,Karnataka,Dining,Starbucks,POS,600.0
T00238752,2025-06-23,FY25-26,Q1,Jun-25,3,2025,6,C008618,AmEx,SmartEarn,Upper Middle,Bengaluru,Karnataka,Dining,Starbucks,POS,1080.0
T00085090,2025-09-03,FY25-26,Q2,Sep-25,6,2025,9,C003061,AmEx,Gold,Upper Middle,Kolkata,West Bengal,Grocery,BigBasket,POS,1560.0
T00091907,2025-06-15,FY25-26,Q1,Jun-25,3,2025,6,C003311,AmEx,Platinum,Affluent,Mumbai,Maharashtra,Travel,IndiGo,POS,19386.0
T00613589,2025-09-19,FY25-26,Q2,Sep-25,6,2025,9,C022068,AmEx,Travel Platinum,Premium,Gurugram,Haryana,Travel,IndiGo,Online,33536.0
T00838507,2025-10-26,FY25-26,Q3,Oct-25,7,2025,10,C030144,AmEx,Platinum,Affluent,Bengaluru,Karnataka,Electronics,Apple India,POS,8544.0
T00154676,2026-02-12,FY25-26,Q4,Feb-26,11,2026,2,C005574,AmEx,SmartEarn,Upper Middle,Gurugram,Haryana,Dining,Zomato Dining,POS,1704.0
T00060004,2025-12-04,FY25-26,Q3,Dec-25,9,2025,12,C002162,AmEx,SmartEarn,Upper Middle,Hyderabad,Telangana,E-commerce,Myntra,Online,1123.0
T00044545,2025-09-25,FY25-26,Q2,Sep-25,6,2025,9,C001607,AmEx,Platinum,Affluent,Pune,Maharashtra,Luxury Retail,Lifestyle,POS,2722.0
T00696833,2025-09-17,FY25-26,Q2,Sep-25,6,2025,9,C025068,AmEx,Travel Platinum,Premium,Kolkata,West Bengal,Entertainment,Netflix,Online,2964.0
T00169210,2025-09-19,FY25-26,Q2,Sep-25,6,2025,9,C006100,AmEx,SmartEarn,Affluent,Delhi,Delhi,Luxury Retail,Rolex Boutique,POS,3858.0
T00380318,2025-12-16,FY25-26,Q3,Dec-25,9,2025,12,C013678,AmEx,Travel Platinum,Premium,Bengaluru,Karnataka,Grocery,BigBasket,POS,2772.0
T00623312,2025-12-21,FY25-26,Q3,Dec-25,9,2025,12,C022417,AmEx,Platinum,Affluent,Mumbai,Maharashtra,Healthcare,Apollo Pharmacy,Online,1462.0
T00029850,2026-03-20,FY25-26,Q4,Mar-26,12,2026,3,C001075,AmEx,Platinum,Mass Affluent,Mumbai,Maharashtra,Dining,Barbeque Nation,POS,868.0
T00870107,2025-07-22,FY25-26,Q2,Jul-25,4,2025,7,C031287,AmEx,Gold,Affluent,Delhi,Delhi,Travel,Yatra,Online,6618.0
T00625153,2025-04-02,FY25-26,Q1,Apr-25,1,2025,4,C022484,AmEx,Membership Rewards,Premium,Mumbai,Maharashtra,Education,Byju's,Online,4166.0
T00450957,2026-02-03,FY25-26,Q4,Feb-26,11,2026,2,C016228,AmEx,Platinum,Upper Middle,Bengaluru,Karnataka,Hotels,ITC Hotels,Online,9294.0
T00839117,2026-02-18,FY25-26,Q4,Feb-26,11,2026,2,C030167,AmEx,Corporate,Premium,Mumbai,Maharashtra,Electronics,Vijay Sales,Online,5899.0
T00513861,2026-01-19,FY25-26,Q4,Jan-26,10,2026,1,C018480,AmEx,Gold,Premium,Chennai,Tamil Nadu,E-commerce,Myntra,Online,5062.0
T00515783,2025-07-26,FY25-26,Q2,Jul-25,4,2025,7,C018548,AmEx,SmartEarn,Premium,Bengaluru,Karnataka,Grocery,Blinkit,POS,704.0
T00205247,2025-09-23,FY25-26,Q2,Sep-25,6,2025,9,C007397,AmEx,Gold,Premium,Chennai,Tamil Nadu,Entertainment,Netflix,Online,1024.0
T00468792,2025-04-08,FY25-26,Q1,Apr-25,1,2025,4,C016868,AmEx,Membership Rewards,Premium,Delhi,Delhi,Electronics,Reliance Digital,Online,1613.0
T00261679,2025-06-17,FY25-26,Q1,Jun-25,3,2025,6,C009430,AmEx,SmartEarn,Premium,Chennai,Tamil Nadu,Dining,Mainland China,POS,1220.0
T00643381,2025-12-12,FY25-26,Q3,Dec-25,9,2025,12,C023141,AmEx,Gold,Upper Middle,Hyderabad,Telangana,Dining,Starbucks,POS,3092.0
T00803364,2026-01-14,FY25-26,Q4,Jan-26,10,2026,1,C028884,AmEx,Gold,Mass Affluent,Chennai,Tamil Nadu,Hotels,ITC Hotels,Online,2190.0
T00452131,2025-05-30,FY25-26,Q1,May-25,2,2025,5,C016271,AmEx,Travel Platinum,Premium,Mumbai,Maharashtra,Electronics,Reliance Digital,POS,12254.0
T00767499,2025-10-09,FY25-26,Q3,Oct-25,7,2025,10,C027584,AmEx,Platinum,Premium,Ahmedabad,Gujarat,Dining,Barbeque Nation,POS,948.0
T00650125,2025-11-28,FY25-26,Q3,Nov-25,8,2025,11,C023383,AmEx,SmartEarn,Premium,Delhi,Delhi,E-commerce,Flipkart,Online,2545.0
T00680511,2025-09-24,FY25-26,Q2,Sep-25,6,2025,9,C024474,AmEx,SmartEarn,Affluent,Bengaluru,Karnataka,Healthcare,Practo,Online,953.0
T00341023,2025-07-31,FY25-26,Q2,Jul-25,4,2025,7,C012267,AmEx,Platinum,Premium,Bengaluru,Karnataka,E-commerce,Nykaa,Online,5458.0
T00029319,2025-11-04,FY25-26,Q3,Nov-25,8,2025,11,C001057,AmEx,Membership Rewards,Upper Middle,Gurugram,Haryana,Luxury Retail,Rolex Boutique,POS,3153.0
T00789682,2025-06-11,FY25-26,Q1,Jun-25,3,2025,6,C028388,AmEx,Corporate,Upper Middle,Delhi,Delhi,Luxury Retail,Tata CLiQ Luxury,Online,2178.0
T00778869,2025-04-24,FY25-26,Q1,Apr-25,1,2025,4,C027995,AmEx,SmartEarn,Premium,Bengaluru,Karnataka,Electronics,Apple India,POS,1570.0
T00488089,2026-01-09,FY25-26,Q4,Jan-26,10,2026,1,C017553,AmEx,Gold,Premium,Hyderabad,Telangana,Dining,Swiggy Dineout,Online,608.0
T00846088,2025-08-26,FY25-26,Q2,Aug-25,5,2025,8,C030421,AmEx,Membership Rewards,Affluent,Ahmedabad,Gujarat,Electronics,Apple India,Online,5126.0
T00655728,2025-07-04,FY25-26,Q2,Jul-25,4,2025,7,C023580,AmEx,SmartEarn,Premium,Kolkata,West Bengal,Education,Great Learning,Online,5197.0
T00263656,2025-07-03,FY25-26,Q2,Jul-25,4,2025,7,C009502,AmEx,Gold,Upper Middle,Jaipur,Rajasthan,Grocery,Blinkit,POS,360.0
T00232416,2025-07-09,FY25-26,Q2,Jul-25,4,2025,7,C008391,AmEx,Membership Rewards,Mass Affluent,Pune,Maharashtra,E-commerce,Nykaa,POS,774.0
T00407554,2025-10-17,FY25-26,Q3,Oct-25,7,2025,10,C014652,AmEx,Platinum,Upper Middle,Bengaluru,Karnataka,Entertainment,PVR INOX,Online,396.0
T00154860,2025-10-29,FY25-26,Q3,Oct-25,7,2025,10,C005582,AmEx,SmartEarn,Upper Middle,Delhi,Delhi,Travel,Air India,Online,2291.0
T00250193,2025-07-06,FY25-26,Q2,Jul-25,4,2025,7,C009022,AmEx,Gold,Premium,Delhi,Delhi,Hotels,Radisson,Online,8598.0
T00078163,2025-05-06,FY25-26,Q1,May-25,2,2025,5,C002816,AmEx,SmartEarn,Mass Affluent,Delhi,Delhi,Dining,Starbucks,Online,456.0
T00403824,2025-04-10,FY25-26,Q1,Apr-25,1,2025,4,C014518,AmEx,Travel Platinum,Affluent,Mumbai,Maharashtra,Hotels,Taj Hotels,Online,12078.0
T00889130,2025-10-09,FY25-26,Q3,Oct-25,7,2025,10,C031965,AmEx,Travel Platinum,Premium,Mumbai,Maharashtra,Travel,Yatra,POS,62170.0
T00515295,2025-12-22,FY25-26,Q3,Dec-25,9,2025,12,C018530,AmEx,Gold,Upper Middle,Mumbai,Maharashtra,Grocery,Blinkit,POS,468.0
T00322381,2025-06-05,FY25-26,Q1,Jun-25,3,2025,6,C011597,AmEx,SmartEarn,Premium,Bengaluru,Karnataka,Dining,Mainland China,POS,1444.0
T00209760,2026-03-24,FY25-26,Q4,Mar-26,12,2026,3,C007564,AmEx,Platinum,Premium,Bengaluru,Karnataka,Education,Coursera,POS,8338.0
T00179825,2025-06-07,FY25-26,Q1,Jun-25,3,2025,6,C006486,AmEx,SmartEarn,Premium,Delhi,Delhi,Grocery,Reliance Fresh,POS,1236.0
T00524204,2026-01-02,FY25-26,Q4,Jan-26,10,2026,1,C018855,AmEx,SmartEarn,Affluent,Kolkata,West Bengal,Dining,Zomato Dining,POS,244.0
T00330712,2025-07-31,FY25-26,Q2,Jul-25,4,2025,7,C011894,AmEx,Gold,Premium,Hyderabad,Telangana,Luxury Retail,Rolex Boutique,Online,11704.0
T00408538,2025-07-11,FY25-26,Q2,Jul-25,4,2025,7,C014686,AmEx,SmartEarn,Affluent,Mumbai,Maharashtra,Luxury Retail,Rolex Boutique,POS,9178.0
T00225201,2025-07-16,FY25-26,Q2,Jul-25,4,2025,7,C008129,AmEx,SmartEarn,Upper Middle,Bengaluru,Karnataka,Dining,Starbucks,POS,428.0
T00744024,2025-11-11,FY25-26,Q3,Nov-25,8,2025,11,C026745,AmEx,Membership Rewards,Premium,Delhi,Delhi,Electronics,Apple India,POS,4853.0
T00509477,2025-04-11,FY25-26,Q1,Apr-25,1,2025,4,C018321,AmEx,Gold,Upper Middle,Mumbai,Maharashtra,E-commerce,Ajio,Online,4284.0
T00388761,2025-10-29,FY25-26,Q3,Oct-25,7,2025,10,C013976,AmEx,Platinum,Premium,Bengaluru,Karnataka,Luxury Retail,Lifestyle,POS,9856.0
T00108095,2026-01-28,FY25-26,Q4,Jan-26,10,2026,1,C003891,AmEx,Corporate,Premium,Pune,Maharashtra,Luxury Retail,Tata CLiQ Luxury,POS,2660.0
T00227610,2025-09-20,FY25-26,Q2,Sep-25,6,2025,9,C008217,AmEx,Gold,Affluent,Mumbai,Maharashtra,Entertainment,Spotify,Online,1420.0
T00103319,2025-11-06,FY25-26,Q3,Nov-25,8,2025,11,C003715,AmEx,Gold,Affluent,Pune,Maharashtra,Dining,Mainland China,POS,2864.0
T00059737,2025-05-12,FY25-26,Q1,May-25,2,2025,5,C002153,AmEx,Travel Platinum,Mass Affluent,Hyderabad,Telangana,Fuel,IndianOil,Online,696.0
T00180900,2025-11-13,FY25-26,Q3,Nov-25,8,2025,11,C006524,AmEx,Platinum,Affluent,Mumbai,Maharashtra,Healthcare,Apollo Hospitals,POS,1126.0
T00187876,2025-07-24,FY25-26,Q2,Jul-25,4,2025,7,C006779,AmEx,Corporate,Premium,Mumbai,Maharashtra,E-commerce,Nykaa,Online,4244.0
T00780841,2025-12-10,FY25-26,Q3,Dec-25,9,2025,12,C028066,AmEx,Gold,Premium,Hyderabad,Telangana,Luxury Retail,Sephora,POS,21196.0
T00686283,2026-02-14,FY25-26,Q4,Feb-26,11,2026,2,C024682,AmEx,Gold,Premium,Bengaluru,Karnataka,Travel,Yatra,POS,15904.0
T00169774,2026-01-07,FY25-26,Q4,Jan-26,10,2026,1,C006120,AmEx,Gold,Affluent,Gurugram,Haryana,Luxury Retail,Rolex Boutique,POS,1932.0
T00057702,2025-12-09,FY25-26,Q3,Dec-25,9,2025,12,C002078,AmEx,SmartEarn,Upper Middle,Bengaluru,Karnataka,Hotels,OYO Premium,POS,2280.0
T00119406,2025-07-02,FY25-26,Q2,Jul-25,4,2025,7,C004298,AmEx,Gold,Premium,Mumbai,Maharashtra,Luxury Retail,Tata CLiQ Luxury,POS,8557.0
T00785682,2026-03-13,FY25-26,Q4,Mar-26,12,2026,3,C028242,AmEx,SmartEarn,Premium,Bengaluru,Karnataka,Electronics,Croma,POS,6739.0
T00654935,2025-09-19,FY25-26,Q2,Sep-25,6,2025,9,C023553,AmEx,Membership Rewards,Premium,Mumbai,Maharashtra,Luxury Retail,Shoppers Stop,POS,26331.0
T00067713,2026-03-31,FY25-26,Q4,Mar-26,12,2026,3,C002439,AmEx,Platinum,Affluent,Hyderabad,Telangana,Dining,Zomato Dining,POS,1800.0
T00261128,2025-04-15,FY25-26,Q1,Apr-25,1,2025,4,C009409,AmEx,Platinum,Upper Middle,Chennai,Tamil Nadu,Travel,Akbar Travels,Online,6784.0
T00005213,2025-12-03,FY25-26,Q3,Dec-25,9,2025,12,C000195,AmEx,Membership Rewards,Upper Middle,Chennai,Tamil Nadu,Grocery,Nature's Basket,POS,844.0
T00647708,2025-04-23,FY25-26,Q1,Apr-25,1,2025,4,C023297,AmEx,Gold,Affluent,Bengaluru,Karnataka,Education,UpGrad,Online,4270.0
T00615949,2025-06-05,FY25-26,Q1,Jun-25,3,2025,6,C022153,AmEx,SmartEarn,Upper Middle,Delhi,Delhi,Travel,Air India,Online,2848.0
T00454934,2025-12-26,FY25-26,Q3,Dec-25,9,2025,12,C016373,AmEx,Corporate,Premium,Bengaluru,Karnataka,Education,Coursera,Online,15893.0
T00574287,2025-06-20,FY25-26,Q1,Jun-25,3,2025,6,C020647,AmEx,Travel Platinum,Affluent,Gurugram,Haryana,Luxury Retail,Lifestyle,Online,4116.0
T00740785,2025-09-15,FY25-26,Q2,Sep-25,6,2025,9,C026632,AmEx,Platinum,Mass Affluent,Pune,Maharashtra,Travel,Yatra,POS,6003.0
T00475987,2025-07-25,FY25-26,Q2,Jul-25,4,2025,7,C017123,AmEx,Membership Rewards,Premium,Mumbai,Maharashtra,Entertainment,BookMyShow,Online,5680.0
T00440597,2025-04-03,FY25-26,Q1,Apr-25,1,2025,4,C015851,AmEx,Membership Rewards,Affluent,Mumbai,Maharashtra,Healthcare,Practo,POS,1361.0
T00544790,2025-09-02,FY25-26,Q2,Sep-25,6,2025,9,C019596,AmEx,SmartEarn,Affluent,Chennai,Tamil Nadu,Electronics,Vijay Sales,POS,4603.0
T00746235,2025-04-12,FY25-26,Q1,Apr-25,1,2025,4,C026824,AmEx,Platinum,Upper Middle,Chennai,Tamil Nadu,E-commerce,Myntra,Online,914.0
T00023204,2025-06-14,FY25-26,Q1,Jun-25,3,2025,6,C000835,AmEx,Gold,Premium,Bengaluru,Karnataka,Dining,Swiggy Dineout,POS,968.0
T00121336,2026-01-19,FY25-26,Q4,Jan-26,10,2026,1,C004366,AmEx,Travel Platinum,Mass Affluent,Bengaluru,Karnataka,Luxury Retail,Rolex Boutique,POS,4665.0
T00465820,2026-03-01,FY25-26,Q4,Mar-26,12,2026,3,C016762,AmEx,Corporate,Affluent,Hyderabad,Telangana,Dining,Starbucks,Online,1480.0
T00439740,2025-10-08,FY25-26,Q3,Oct-25,7,2025,10,C015819,AmEx,SmartEarn,Upper Middle,Gurugram,Haryana,Dining,Starbucks,POS,1532.0
T00323667,2025-11-25,FY25-26,Q3,Nov-25,8,2025,11,C011642,AmEx,Membership Rewards,Affluent,Hyderabad,Telangana,Electronics,Reliance Digital,POS,2285.0
T00773543,2025-09-19,FY25-26,Q2,Sep-25,6,2025,9,C027799,AmEx,Platinum,Affluent,Mumbai,Maharashtra,Dining,Starbucks,POS,2188.0
T00573155,2025-05-22,FY25-26,Q1,May-25,2,2025,5,C020605,AmEx,Corporate,Affluent,Ahmedabad,Gujarat,Travel,IndiGo,POS,2490.0
T00383680,2025-12-20,FY25-26,Q3,Dec-25,9,2025,12,C013797,AmEx,Gold,Mass Affluent,Pune,Maharashtra,Dining,Barbeque Nation,Online,1508.0
T00693559,2025-09-01,FY25-26,Q2,Sep-25,6,2025,9,C024946,AmEx,Membership Rewards,Upper Middle,Hyderabad,Telangana,Dining,Barbeque Nation,POS,548.0
T00263273,2025-05-18,FY25-26,Q1,May-25,2,2025,5,C009489,AmEx,Travel Platinum,Premium,Delhi,Delhi,Entertainment,Netflix,Online,4224.0
T00836137,2025-08-20,FY25-26,Q2,Aug-25,5,2025,8,C030058,AmEx,SmartEarn,Premium,Bengaluru,Karnataka,Dining,Barbeque Nation,POS,2908.0
T00795825,2025-12-21,FY25-26,Q3,Dec-25,9,2025,12,C028611,AmEx,Platinum,Affluent,Delhi,Delhi,Fuel,HPCL,POS,2232.0
T00629197,2026-03-09,FY25-26,Q4,Mar-26,12,2026,3,C022628,AmEx,Membership Rewards,Affluent,Delhi,Delhi,E-commerce,Myntra,Online,2653.0
T00135846,2025-04-16,FY25-26,Q1,Apr-25,1,2025,4,C004894,AmEx,Platinum,Upper Middle,Mumbai,Maharashtra,Luxury Retail,Lifestyle,POS,4060.0
T00103665,2026-03-30,FY25-26,Q4,Mar-26,12,2026,3,C003728,AmEx,SmartEarn,Premium,Bengaluru,Karnataka,E-commerce,Nykaa,Online,3215.0
T00848364,2026-02-24,FY25-26,Q4,Feb-26,11,2026,2,C030503,AmEx,Membership Rewards,Premium,Mumbai,Maharashtra,Luxury Retail,Lifestyle,POS,9654.0
T00085958,2026-03-03,FY25-26,Q4,Mar-26,12,2026,3,C003093,AmEx,Travel Platinum,Premium,Delhi,Delhi,E-commerce,Nykaa,Online,3622.0
T00525985,2025-08-09,FY25-26,Q2,Aug-25,5,2025,8,C018920,AmEx,SmartEarn,Affluent,Mumbai,Maharashtra,Grocery,Blinkit,POS,348.0
T00109943,2025-05-23,FY25-26,Q1,May-25,2,2025,5,C003957,AmEx,Travel Platinum,Premium,Pune,Maharashtra,Dining,Barbeque Nation,Online,1748.0
T00270280,2026-03-16,FY25-26,Q4,Mar-26,12,2026,3,C009743,AmEx,Gold,Premium,Hyderabad,Telangana,Education,Byju's,Online,5023.0
